name,RA,DEC,re,mue,mean_score,std_score,grade
galaxy_189.069475_-3.6683_KIDS_189.5_-3.5,189.069475,-3.6683,7.01,24.87,9.57,1.13,A
galaxy_189.091583_0.2346_KIDS_189.0_0.5,189.091583,0.2346,5.82,25.36,9.57,1.13,A
galaxy_189.145389_3.6424_KIDS_189.5_3.5,189.145389,3.6424,6.9,23.9,10,0,A
galaxy_189.46904_2.1809_KIDS_189.5_2.5,189.46904,2.1809,7.77,26.19,9.57,1.13,A
galaxy_189.472779_-0.6013_KIDS_189.0_-0.5,189.472779,-0.6013,4.92,25.28,9.57,1.13,A
galaxy_189.475572_2.148_KIDS_189.5_2.5,189.475572,2.148,10.14,26.1,9.57,1.13,A
galaxy_189.484981_3.8649_KIDS_189.5_3.5,189.484981,3.8649,4.9,26.01,8.57,2.7,A
galaxy_189.57218_2.4334_KIDS_189.5_2.5,189.57218,2.4334,4.93,24.79,9.4,1.34,A
galaxy_189.705278_-0.5976_KIDS_190.0_-0.5,189.705278,-0.5976,6.03,25.14,9.57,1.13,A
galaxy_189.787722_0.1446_KIDS_190.0_0.5,189.787722,0.1446,9.39,25.97,9.57,1.13,A
galaxy_189.796084_3.5773_KIDS_189.5_3.5,189.796084,3.5773,9.1,25.66,9.14,1.46,A
galaxy_189.911258_2.0314_KIDS_189.5_2.5,189.911258,2.0314,6.1,25.73,8.71,1.6,A
galaxy_189.915342_2.2329_KIDS_189.5_2.5,189.915342,2.2329,6.14,25.32,9.25,1.39,A
galaxy_189.915641_0.8249_KIDS_190.0_0.5,189.915641,0.8249,7.56,25.09,8.29,1.6,A
galaxy_189.933583_-2.99_KIDS_189.5_-3.5,189.933583,-2.99,7.74,24.3,8.71,1.6,A
galaxy_189.948611_0.0408_KIDS_190.0_0.5,189.948611,0.0408,11.67,25.25,10,0,A
galaxy_190.057473_-0.8823_KIDS_190.0_-0.5,190.057473,-0.8823,12.25,25.68,8.2,1.64,A
galaxy_190.105751_2.6084_KIDS_190.5_2.5,190.105751,2.6084,10.97,24.04,8.71,1.6,A
galaxy_190.121149_-3.5288_KIDS_190.5_-3.5,190.121149,-3.5288,5.92,25.36,7.43,1.13,A
galaxy_190.133993_1.69_KIDS_190.0_1.5,190.133993,1.69,5.27,25.61,9.57,1.13,A
